Fullname, Course, Score, Experience, StudyMode, StudyPattern
Douglas Griffith,Doctor of Pharmacy (Pharm.D.),63,dentistry,,FT
Lori Rodriguez,Doctor of Nursing Practice (D.N.P.),69,physiotherapy,on-campus,FT
Michael Lowery,Doctor of Dental Surgery (D.D.S.),97,nutrition,online,FT
Angelica Contreras,Doctor of Veterinary Medicine (D.V.M.),63,dentistry,,PT
Richard Washington,Doctor of Osteopathic Medicine (D.O.),88,,,FT
Jennifer Brown,Doctor of Podiatric Medicine (D.P.M.),89,immunology,,FT
Joseph Harris,Doctor of Physical Therapy (D.P.T.),78,nutrition,on-campus,FT
Melinda Rhodes,Doctor of Physical Therapy (D.P.T.),65,dentistry,online,FT
Shari Sanders,Doctor of Nursing Practice (D.N.P.),67,nursing,online,
George Guzman,Doctor of Chiropractic (D.C.),62,nursing,,
Tami Thornton,Doctor of Pharmacy (Pharm.D.),54,nursing,online,FT
Amy Davis,Doctor of Medicine (M.D.),79,nutrition,on-campus,
Michelle Gallegos,Master of Public Health (M.P.H.),55,physiotherapy,on-campus,FT
Devin Duncan,Doctor of Nursing Practice (D.N.P.),86,,online,FT
Sara Mullen,Doctor of Nursing Practice (D.N.P.),50,nutrition,on-campus,PT
Karen Peck,Doctor of Osteopathic Medicine (D.O.),85,nutrition,,FT
Natasha Taylor,Doctor of Dental Surgery (D.D.S.),74,nutrition,,
Paul Green,Doctor of Osteopathic Medicine (D.O.),60,dentistry,on-campus,PT
Jessica Cook,Doctor of Dental Surgery (D.D.S.),88,,,PT
George Moore,Master of Health Administration (M.H.A.),72,dentistry,,
Carol Rodriguez,Master of Public Health (M.P.H.),75,nutrition,,PT
Laura Foster,Doctor of Osteopathic Medicine (D.O.),75,physiotherapy,on-campus,
Samuel Villarreal,Master of Public Health (M.P.H.),77,,on-campus,
Brenda Brown,Doctor of Dental Medicine (D.M.D.),86,nutrition,,PT
Michael Johnson,Doctor of Podiatric Medicine (D.P.M.),71,physiotherapy,online,
Kenneth Becker,Doctor of Dental Medicine (D.M.D.),91,immunology,online,FT
Lisa Mcintosh,Bachelor of Science in Biomedical Science (B.S.),95,immunology,online,FT
Jonathan Nolan MD,Doctor of Medicine (M.D.),84,dentistry,on-campus,
Dr. Michael Jones,Doctor of Osteopathic Medicine (D.O.),54,nursing,online,
Nathaniel Stewart,Doctor of Physical Therapy (D.P.T.),89,immunology,,FT
Tiffany Sharp,Doctor of Pharmacy (Pharm.D.),67,surgery,on-campus,
Veronica Daniels,Doctor of Pharmacy (Pharm.D.),86,nursing,,
Eugene Ellis,Doctor of Nursing Practice (D.N.P.),95,nutrition,,PT
Stacy Holland,Master of Health Administration (M.H.A.),81,nutrition,,FT
Noah Fields,Doctor of Osteopathic Medicine (D.O.),51,dentistry,on-campus,
Christian Anderson,Doctor of Nursing Practice (D.N.P.),59,surgery,,PT
Patrick Lewis,Master of Public Health (M.P.H.),76,physiotherapy,,FT
Jennifer Craig,Doctor of Dental Medicine (D.M.D.),87,nutrition,online,PT
Raymond Parker,Doctor of Osteopathic Medicine (D.O.),69,surgery,,
Rhonda Chung,Master of Public Health (M.P.H.),99,,online,FT
Amber Shields,Doctor of Dental Surgery (D.D.S.),85,nutrition,,PT
Cheryl Cruz,Doctor of Osteopathic Medicine (D.O.),55,,online,
Debra Howard,Doctor of Nursing Practice (D.N.P.),92,dentistry,,FT
Matthew Peterson,Doctor of Nursing Practice (D.N.P.),67,nursing,on-campus,
Lisa Mccoy,Doctor of Optometry (O.D.),78,nutrition,on-campus,
Jeffrey Howard,Doctor of Dental Medicine (D.M.D.),90,physiotherapy,online,
Clinton Valdez,Doctor of Pharmacy (Pharm.D.),52,surgery,online,FT
Jared Robertson,Doctor of Chiropractic (D.C.),96,immunology,on-campus,
Matthew Parks,Doctor of Medicine (M.D.),67,dentistry,on-campus,PT
Meredith Miller,Doctor of Pharmacy (Pharm.D.),72,surgery,online,FT
Jessica Carney,Doctor of Dental Medicine (D.M.D.),58,nursing,online,PT
Felicia Brown,Doctor of Dental Surgery (D.D.S.),77,physiotherapy,online,
Steven Rubio,Doctor of Podiatric Medicine (D.P.M.),84,dentistry,online,FT
Stephanie Page,Doctor of Nursing Practice (D.N.P.),72,nursing,on-campus,FT
Emily Jackson,Doctor of Podiatric Medicine (D.P.M.),98,nursing,on-campus,
Steven Miller,Doctor of Nursing Practice (D.N.P.),65,dentistry,on-campus,FT
Emily Fuentes,Doctor of Veterinary Medicine (D.V.M.),67,nutrition,on-campus,FT
Jonathan Perez,Doctor of Physical Therapy (D.P.T.),92,surgery,online,
Julie Brown,Doctor of Chiropractic (D.C.),67,surgery,,
Zachary Alexander,Doctor of Podiatric Medicine (D.P.M.),75,nursing,online,FT
Billy Dennis,Master of Health Administration (M.H.A.),90,,online,PT
Sheila Miller,Doctor of Physical Therapy (D.P.T.),73,dentistry,,
Janice Garner,Doctor of Pharmacy (Pharm.D.),84,nursing,on-campus,PT
Sara Smith,Master of Public Health (M.P.H.),60,immunology,online,PT
Evan Smith,Doctor of Dental Surgery (D.D.S.),99,nursing,online,
Jorge Morgan,Doctor of Veterinary Medicine (D.V.M.),95,nursing,,PT
Chelsey Gray,Doctor of Osteopathic Medicine (D.O.),55,physiotherapy,,
Anna Golden,Doctor of Pharmacy (Pharm.D.),100,,on-campus,
Danielle Nguyen,Doctor of Physical Therapy (D.P.T.),67,surgery,on-campus,FT
Mark Boyd,Doctor of Physical Therapy (D.P.T.),64,nursing,on-campus,
Courtney Duffy,Doctor of Optometry (O.D.),57,nursing,online,
Leslie Freeman,Bachelor of Science in Nursing (B.S.N.),83,nursing,online,FT
Samantha Johnson,Doctor of Medicine (M.D.),60,physiotherapy,,FT
Kevin Roman,Doctor of Osteopathic Medicine (D.O.),52,surgery,,PT
Debra Morrow,Bachelor of Science in Biomedical Science (B.S.),88,nutrition,online,FT
Jennifer Rogers,Bachelor of Science in Biomedical Science (B.S.),63,immunology,on-campus,
Tony Moore,Doctor of Dental Surgery (D.D.S.),92,dentistry,,FT
Christine Summers,Master of Public Health (M.P.H.),96,,on-campus,PT
John Mcdowell,Bachelor of Science in Nursing (B.S.N.),63,surgery,on-campus,FT
Jonathan Mendez,Doctor of Optometry (O.D.),87,,on-campus,PT
Eric Oconnell MD,Doctor of Podiatric Medicine (D.P.M.),92,immunology,on-campus,FT
Destiny Diaz,Doctor of Dental Medicine (D.M.D.),100,immunology,on-campus,FT
Nicholas Moses,Doctor of Osteopathic Medicine (D.O.),61,,online,PT
Erica Kramer,Master of Health Administration (M.H.A.),65,physiotherapy,,FT
Sharon Rivera,Doctor of Nursing Practice (D.N.P.),65,physiotherapy,online,PT
Leslie Ramirez,Bachelor of Science in Nursing (B.S.N.),96,immunology,online,FT
Stephanie Ford,Doctor of Chiropractic (D.C.),63,nursing,,PT
Melissa Beck,Doctor of Veterinary Medicine (D.V.M.),71,surgery,,FT
Jessica Miller,Doctor of Veterinary Medicine (D.V.M.),99,nutrition,on-campus,FT
Thomas Austin,Master of Public Health (M.P.H.),84,,on-campus,PT
Walter Stewart,Doctor of Chiropractic (D.C.),52,nursing,,PT
David Knight,Doctor of Pharmacy (Pharm.D.),71,,,FT
Robert Morgan,Doctor of Dental Surgery (D.D.S.),94,,,FT
Amy Porter,Doctor of Physical Therapy (D.P.T.),53,nursing,online,
Anne Arellano,Doctor of Nursing Practice (D.N.P.),97,physiotherapy,online,PT
Tiffany Martinez,Doctor of Osteopathic Medicine (D.O.),94,dentistry,on-campus,
Timothy Callahan,Doctor of Optometry (O.D.),63,nursing,online,PT
Timothy Perry,Doctor of Medicine (M.D.),71,dentistry,,
Amy Marsh,Doctor of Nursing Practice (D.N.P.),55,immunology,,
James Williams MD,Bachelor of Science in Nursing (B.S.N.),98,nursing,online,FT
Angela White,Bachelor of Science in Biomedical Science (B.S.),98,nutrition,on-campus,
Jeffrey Bennett,Master of Health Administration (M.H.A.),94,nursing,on-campus,FT
Jennifer Le,Doctor of Nursing Practice (D.N.P.),76,nutrition,online,FT
Jason Gonzalez Jr.,Doctor of Dental Surgery (D.D.S.),59,dentistry,online,FT
Jordan Gregory,Doctor of Veterinary Medicine (D.V.M.),90,,,FT
Dr. Sarah Chavez,Doctor of Podiatric Medicine (D.P.M.),58,immunology,online,FT
Carlos Richardson,Doctor of Podiatric Medicine (D.P.M.),96,immunology,online,
Rodney Rodriguez,Bachelor of Science in Biomedical Science (B.S.),65,,online,
James Brown,Doctor of Podiatric Medicine (D.P.M.),80,surgery,on-campus,FT
Mary Davis,Doctor of Dental Medicine (D.M.D.),90,immunology,on-campus,FT
Vincent Armstrong,Doctor of Nursing Practice (D.N.P.),97,nursing,,FT
Joseph Walters,Master of Health Administration (M.H.A.),60,surgery,,
Jeremiah Martin IV,Master of Health Administration (M.H.A.),78,physiotherapy,,PT
John Hall,Doctor of Physical Therapy (D.P.T.),79,surgery,,FT
Lisa Richards,Doctor of Pharmacy (Pharm.D.),70,nursing,online,FT
Erin Lee,Doctor of Pharmacy (Pharm.D.),60,immunology,online,FT
Victoria Smith,Doctor of Dental Medicine (D.M.D.),56,nursing,on-campus,
Devon Mason,Doctor of Osteopathic Medicine (D.O.),92,,online,PT
Kathleen Martinez,Doctor of Pharmacy (Pharm.D.),87,,,
Joshua Jones,Doctor of Chiropractic (D.C.),100,nursing,on-campus,PT
Laura Thompson,Doctor of Veterinary Medicine (D.V.M.),73,nutrition,,FT
Cathy Payne,Doctor of Dental Surgery (D.D.S.),69,surgery,on-campus,PT
Hunter Rich,Doctor of Veterinary Medicine (D.V.M.),98,nutrition,,PT
Alisha Peterson,Bachelor of Science in Biomedical Science (B.S.),84,nutrition,on-campus,PT
Lisa Campbell,Doctor of Dental Surgery (D.D.S.),64,immunology,online,
Angelica Buck,Master of Health Administration (M.H.A.),80,nutrition,on-campus,
Heather Holt,Doctor of Podiatric Medicine (D.P.M.),55,nutrition,on-campus,PT
Emily Glenn,Doctor of Veterinary Medicine (D.V.M.),87,immunology,online,
Shannon Morrison,Doctor of Veterinary Medicine (D.V.M.),54,dentistry,,FT
Debbie Davis,Doctor of Osteopathic Medicine (D.O.),69,physiotherapy,online,
Taylor Lang,Bachelor of Science in Nursing (B.S.N.),98,surgery,on-campus,
Richard Morgan,Doctor of Nursing Practice (D.N.P.),57,nutrition,,PT
Deborah Brown,Doctor of Veterinary Medicine (D.V.M.),77,dentistry,on-campus,PT
Andrew Hunter,Doctor of Medicine (M.D.),90,nursing,on-campus,PT
Ricky Rivera PhD,Doctor of Optometry (O.D.),96,nursing,online,PT
Mark Clay,Doctor of Dental Medicine (D.M.D.),75,physiotherapy,online,FT
Gloria Woods,Bachelor of Science in Nursing (B.S.N.),83,surgery,,PT
Valerie Frost,Doctor of Pharmacy (Pharm.D.),99,immunology,,FT
Nicholas Boyd,Doctor of Veterinary Medicine (D.V.M.),97,nursing,,FT
William Martin,Doctor of Physical Therapy (D.P.T.),97,immunology,,FT
Justin Riggs,Master of Health Administration (M.H.A.),61,immunology,on-campus,PT
Angela Silva,Master of Health Administration (M.H.A.),97,nutrition,on-campus,FT
Dorothy Rodriguez,Doctor of Optometry (O.D.),70,,on-campus,
Matthew Brown,Master of Public Health (M.P.H.),85,immunology,on-campus,
Veronica Romero,Doctor of Optometry (O.D.),90,nutrition,,FT
Jonathan Murphy,Bachelor of Science in Biomedical Science (B.S.),68,,on-campus,
Eric Wang,Doctor of Podiatric Medicine (D.P.M.),80,surgery,,
Holly Adams,Doctor of Nursing Practice (D.N.P.),82,dentistry,on-campus,FT
Craig Vazquez,Doctor of Chiropractic (D.C.),88,surgery,,FT
Barry Miller,Doctor of Chiropractic (D.C.),52,physiotherapy,,
Samantha Branch,Master of Health Administration (M.H.A.),73,surgery,on-campus,FT
Jennifer Welch,Doctor of Physical Therapy (D.P.T.),93,surgery,,PT
Lori Murphy,Doctor of Physical Therapy (D.P.T.),69,,,PT
Joanna Harvey,Doctor of Podiatric Medicine (D.P.M.),56,physiotherapy,on-campus,
Colleen Boyd,Doctor of Podiatric Medicine (D.P.M.),82,dentistry,,FT
Logan Ross,Doctor of Pharmacy (Pharm.D.),79,dentistry,on-campus,PT
Francis Barr,Bachelor of Science in Biomedical Science (B.S.),52,nutrition,,PT
Melanie Sanchez,Master of Health Administration (M.H.A.),78,nutrition,online,PT
David James,Master of Health Administration (M.H.A.),91,nursing,online,PT
Jacqueline Morales,Bachelor of Science in Nursing (B.S.N.),67,,on-campus,FT
Timothy White,Doctor of Nursing Practice (D.N.P.),94,surgery,on-campus,PT
Shane Cruz,Doctor of Physical Therapy (D.P.T.),80,surgery,,
Patricia Lewis,Bachelor of Science in Nursing (B.S.N.),71,surgery,,
Nathan Spencer,Doctor of Physical Therapy (D.P.T.),57,,on-campus,PT
Alexis Spencer,Doctor of Optometry (O.D.),60,nutrition,online,PT
Michelle Barker,Bachelor of Science in Nursing (B.S.N.),97,nursing,on-campus,FT
Joseph Herman,Master of Public Health (M.P.H.),61,dentistry,,FT
Melinda Mitchell,Doctor of Dental Medicine (D.M.D.),72,nursing,,
Lori Pruitt,Doctor of Dental Medicine (D.M.D.),70,nursing,,FT
Jennifer Weber,Doctor of Nursing Practice (D.N.P.),70,surgery,,PT
Candace Small,Doctor of Dental Medicine (D.M.D.),98,physiotherapy,,FT
David Wallace,Bachelor of Science in Biomedical Science (B.S.),71,nutrition,online,PT
Kelly Black,Doctor of Dental Medicine (D.M.D.),66,nutrition,online,FT
Holly Lewis,Doctor of Nursing Practice (D.N.P.),63,,,
Jay Brown,Doctor of Optometry (O.D.),91,nursing,online,FT
Jennifer Tucker,Doctor of Dental Medicine (D.M.D.),85,nutrition,on-campus,PT
Matthew Morgan,Doctor of Podiatric Medicine (D.P.M.),95,immunology,on-campus,FT
Marcus Johnson,Doctor of Pharmacy (Pharm.D.),91,surgery,on-campus,
Gilbert Chen,Master of Public Health (M.P.H.),74,,on-campus,
Richard Suarez,Doctor of Veterinary Medicine (D.V.M.),82,surgery,,
Casey Cain,Doctor of Optometry (O.D.),93,surgery,online,
Crystal Holland,Doctor of Physical Therapy (D.P.T.),68,physiotherapy,online,PT
Kathy Gonzales,Bachelor of Science in Biomedical Science (B.S.),84,,,PT
John Ortiz,Doctor of Dental Surgery (D.D.S.),58,nutrition,online,PT
Austin Krueger,Doctor of Osteopathic Medicine (D.O.),56,nutrition,on-campus,
Teresa Lewis,Doctor of Nursing Practice (D.N.P.),95,dentistry,on-campus,PT
Eileen Meza,Bachelor of Science in Nursing (B.S.N.),87,nursing,online,
Stacey Nichols,Doctor of Dental Medicine (D.M.D.),51,surgery,,
Robert Palmer,Master of Health Administration (M.H.A.),81,physiotherapy,,PT
Stephanie Short,Doctor of Pharmacy (Pharm.D.),91,surgery,online,
Kristen Young,Doctor of Dental Surgery (D.D.S.),72,physiotherapy,,PT
Brent Hancock,Doctor of Chiropractic (D.C.),73,,,
Ashley Edwards,Bachelor of Science in Nursing (B.S.N.),67,surgery,online,
Mia Ramirez,Doctor of Dental Surgery (D.D.S.),86,dentistry,,PT
John Guzman,Doctor of Chiropractic (D.C.),78,immunology,online,FT
Michael Holland,Doctor of Dental Surgery (D.D.S.),100,physiotherapy,on-campus,FT
Lucas Thompson,Bachelor of Science in Nursing (B.S.N.),60,surgery,online,
Elizabeth Stone,Doctor of Osteopathic Medicine (D.O.),63,nutrition,online,
Hannah Wheeler,Doctor of Optometry (O.D.),74,nursing,online,FT
Christopher Nguyen,Doctor of Osteopathic Medicine (D.O.),77,physiotherapy,on-campus,
Johnny Lucas,Doctor of Pharmacy (Pharm.D.),90,physiotherapy,,PT
Joseph Mcgee,Doctor of Osteopathic Medicine (D.O.),89,immunology,on-campus,
Nicholas Pham,Doctor of Optometry (O.D.),77,nursing,online,PT
Kathryn Wong,Doctor of Podiatric Medicine (D.P.M.),89,nursing,online,
Jay Cook,Bachelor of Science in Biomedical Science (B.S.),71,nursing,online,
Shawn Clark,Master of Public Health (M.P.H.),71,surgery,online,FT
Gary Bishop,Doctor of Pharmacy (Pharm.D.),92,physiotherapy,online,PT
Mike Thomas,Doctor of Optometry (O.D.),68,immunology,online,FT
Rebecca Martinez,Doctor of Nursing Practice (D.N.P.),75,nutrition,online,FT
Mark Brown,Doctor of Dental Surgery (D.D.S.),84,physiotherapy,,FT
Jennifer Sandoval,Doctor of Dental Surgery (D.D.S.),93,dentistry,online,
Barbara Smith,Doctor of Medicine (M.D.),93,dentistry,online,FT
Amy Charles,Doctor of Podiatric Medicine (D.P.M.),50,physiotherapy,on-campus,FT
Jillian Holland,Doctor of Physical Therapy (D.P.T.),72,physiotherapy,,PT
Scott Mccann,Doctor of Chiropractic (D.C.),94,dentistry,,FT
Jane Castillo,Bachelor of Science in Nursing (B.S.N.),83,physiotherapy,on-campus,PT
Christina Frey,Doctor of Chiropractic (D.C.),92,nursing,,FT
Karen Erickson,Doctor of Veterinary Medicine (D.V.M.),61,dentistry,,PT
Steven Gross,Doctor of Physical Therapy (D.P.T.),66,nursing,on-campus,PT
Toni Johnson,Master of Health Administration (M.H.A.),98,nursing,online,FT
Nicole Glover,Doctor of Podiatric Medicine (D.P.M.),88,nursing,online,PT
Hannah Wood,Doctor of Dental Surgery (D.D.S.),90,dentistry,online,FT
Benjamin Smith,Doctor of Medicine (M.D.),98,surgery,online,PT
John Walker,Bachelor of Science in Biomedical Science (B.S.),88,surgery,online,PT
Shelly Kelley,Doctor of Pharmacy (Pharm.D.),79,dentistry,on-campus,FT
Daisy Santiago,Master of Health Administration (M.H.A.),50,immunology,,FT
Tara Ortega,Doctor of Dental Surgery (D.D.S.),63,physiotherapy,,FT
Corey Fox,Doctor of Podiatric Medicine (D.P.M.),76,nursing,on-campus,
Troy Hammond,Bachelor of Science in Biomedical Science (B.S.),92,nutrition,on-campus,PT
Stephanie Ortiz,Master of Public Health (M.P.H.),88,dentistry,online,FT
Tonya Wood,Doctor of Pharmacy (Pharm.D.),52,,online,
Susan Malone,Doctor of Optometry (O.D.),66,physiotherapy,online,
Albert Wallace,Bachelor of Science in Nursing (B.S.N.),78,nutrition,online,PT
Stacy Parker,Doctor of Osteopathic Medicine (D.O.),74,nutrition,,PT
Kelly Cox,Bachelor of Science in Biomedical Science (B.S.),71,,on-campus,
Terry Potts,Doctor of Nursing Practice (D.N.P.),72,,on-campus,FT
Jason Stone,Doctor of Optometry (O.D.),60,nursing,on-campus,FT
Laura Zavala,Doctor of Podiatric Medicine (D.P.M.),59,nutrition,online,FT
Mark Jones,Doctor of Pharmacy (Pharm.D.),67,physiotherapy,online,PT
Joshua Norman,Doctor of Nursing Practice (D.N.P.),50,nursing,online,FT
Dr. Nicolas Huber,Doctor of Nursing Practice (D.N.P.),86,nursing,on-campus,PT
Daniel Edwards,Doctor of Pharmacy (Pharm.D.),91,immunology,online,PT
Matthew Johnson,Bachelor of Science in Nursing (B.S.N.),84,nutrition,on-campus,PT
Kristen Wilkins,Doctor of Medicine (M.D.),53,nutrition,,PT
Jill Taylor,Doctor of Osteopathic Medicine (D.O.),50,dentistry,online,FT
Kelly Hicks,Doctor of Dental Surgery (D.D.S.),74,nursing,online,
Keith Cook,Doctor of Nursing Practice (D.N.P.),73,surgery,online,PT
Marvin Mann,Bachelor of Science in Nursing (B.S.N.),80,surgery,online,FT
Diane Hall,Doctor of Veterinary Medicine (D.V.M.),78,nutrition,,FT
Mark West,Doctor of Nursing Practice (D.N.P.),68,physiotherapy,on-campus,
Helen Walker,Bachelor of Science in Biomedical Science (B.S.),74,,,
Mark Santos,Doctor of Chiropractic (D.C.),50,physiotherapy,online,FT
James Gonzales,Doctor of Chiropractic (D.C.),77,nursing,online,
Linda Williams,Doctor of Physical Therapy (D.P.T.),93,surgery,on-campus,FT
Adam Thomas,Doctor of Optometry (O.D.),77,immunology,,
Paul Herman,Bachelor of Science in Nursing (B.S.N.),53,physiotherapy,on-campus,FT
Maria Miller,Doctor of Dental Medicine (D.M.D.),62,nursing,,PT
Patrick Randolph,Doctor of Medicine (M.D.),65,dentistry,online,
Cassie Cline,Bachelor of Science in Nursing (B.S.N.),88,nutrition,on-campus,
Scott English,Doctor of Podiatric Medicine (D.P.M.),85,physiotherapy,on-campus,
Michael Wood,Bachelor of Science in Nursing (B.S.N.),78,surgery,,FT
Tiffany Wells,Bachelor of Science in Biomedical Science (B.S.),75,nutrition,on-campus,
Jennifer Murray,Doctor of Medicine (M.D.),58,,on-campus,FT
Cody Davis,Doctor of Pharmacy (Pharm.D.),80,immunology,online,
Sarah Chen DVM,Doctor of Nursing Practice (D.N.P.),99,,on-campus,FT
Amanda Sanders,Doctor of Nursing Practice (D.N.P.),57,nursing,on-campus,
Paul Ritter,Doctor of Dental Surgery (D.D.S.),99,,,
Christopher Gallegos,Doctor of Optometry (O.D.),66,immunology,,PT
Jean Beck,Doctor of Podiatric Medicine (D.P.M.),87,dentistry,,
Sandra Powers,Master of Health Administration (M.H.A.),88,surgery,on-campus,FT
Abigail Hughes,Master of Public Health (M.P.H.),88,surgery,on-campus,FT
Alan King,Doctor of Osteopathic Medicine (D.O.),80,dentistry,on-campus,
Carmen Perkins,Doctor of Chiropractic (D.C.),96,,online,PT
Randy Rollins,Master of Public Health (M.P.H.),84,surgery,online,PT
Ronald Stark,Doctor of Physical Therapy (D.P.T.),95,nutrition,on-campus,PT
Kathy Flores,Doctor of Medicine (M.D.),50,physiotherapy,,
Caroline Dennis,Doctor of Dental Surgery (D.D.S.),50,nutrition,on-campus,PT
Matthew Bishop,Master of Health Administration (M.H.A.),85,physiotherapy,on-campus,
Daniel Brown,Doctor of Physical Therapy (D.P.T.),56,surgery,online,FT
Virginia Burch,Doctor of Dental Medicine (D.M.D.),60,,online,FT
Jason Johnson,Doctor of Nursing Practice (D.N.P.),54,,,
Omar Johnson,Doctor of Dental Surgery (D.D.S.),59,immunology,online,PT
Craig Smith,Doctor of Dental Medicine (D.M.D.),100,nursing,on-campus,FT
Thomas Chen,Doctor of Podiatric Medicine (D.P.M.),95,surgery,,FT
Karen Martin,Doctor of Chiropractic (D.C.),100,nursing,,FT
Whitney Ross,Doctor of Dental Medicine (D.M.D.),67,nursing,on-campus,PT
Justin Jones,Doctor of Medicine (M.D.),66,physiotherapy,,FT
Roy Hopkins,Doctor of Medicine (M.D.),65,physiotherapy,on-campus,PT
Kimberly Campbell,Bachelor of Science in Biomedical Science (B.S.),55,physiotherapy,on-campus,PT
Whitney Baldwin,Doctor of Physical Therapy (D.P.T.),82,immunology,online,FT
Lydia Smith,Bachelor of Science in Nursing (B.S.N.),88,physiotherapy,online,PT
Heather Collins,Doctor of Pharmacy (Pharm.D.),81,nursing,,FT
Teresa Lyons,Master of Health Administration (M.H.A.),83,dentistry,online,PT
Jeremy Smith,Doctor of Physical Therapy (D.P.T.),56,surgery,,PT
Tammy Carpenter,Doctor of Dental Surgery (D.D.S.),88,surgery,on-campus,FT
Mark Grant,Doctor of Dental Medicine (D.M.D.),72,dentistry,on-campus,FT
Frank Larson,Doctor of Nursing Practice (D.N.P.),97,nutrition,on-campus,FT
Chase Horton,Doctor of Pharmacy (Pharm.D.),51,physiotherapy,on-campus,PT
Larry Cole,Doctor of Physical Therapy (D.P.T.),71,dentistry,,FT
Andre Anderson,Master of Health Administration (M.H.A.),93,immunology,,FT
Linda Ferguson,Doctor of Optometry (O.D.),74,,online,FT
Holly Gonzalez,Doctor of Pharmacy (Pharm.D.),78,,,
Debra Cox,Doctor of Physical Therapy (D.P.T.),61,physiotherapy,on-campus,FT
Allison Ross,Doctor of Nursing Practice (D.N.P.),75,,,PT
Shannon Brown,Doctor of Nursing Practice (D.N.P.),75,nursing,,
Sara Fuller,Doctor of Physical Therapy (D.P.T.),59,nursing,,PT
Pamela Conley,Doctor of Dental Medicine (D.M.D.),74,surgery,on-campus,
Drew Anderson,Doctor of Veterinary Medicine (D.V.M.),95,dentistry,on-campus,
Rebecca Cooper,Bachelor of Science in Nursing (B.S.N.),68,,on-campus,PT
Jenna Rasmussen,Doctor of Medicine (M.D.),66,physiotherapy,,
Kim Stone,Bachelor of Science in Nursing (B.S.N.),53,physiotherapy,on-campus,FT
Elizabeth Anthony,Doctor of Veterinary Medicine (D.V.M.),87,nutrition,,
Mitchell Mcdowell Jr.,Bachelor of Science in Biomedical Science (B.S.),70,physiotherapy,on-campus,FT
Sandra Gonzalez,Doctor of Optometry (O.D.),77,surgery,online,PT
Joy Mitchell,Doctor of Medicine (M.D.),85,immunology,on-campus,PT
Brandy Hogan,Doctor of Veterinary Medicine (D.V.M.),60,immunology,on-campus,FT
Tammy Castillo,Doctor of Dental Surgery (D.D.S.),89,surgery,,FT
Joseph Park,Doctor of Optometry (O.D.),60,surgery,online,
Andrew Williams,Master of Public Health (M.P.H.),88,physiotherapy,,PT
Marc Dunn,Doctor of Podiatric Medicine (D.P.M.),88,nutrition,online,PT
Brianna Wilson,Doctor of Pharmacy (Pharm.D.),85,dentistry,,PT
Christian Downs,Bachelor of Science in Nursing (B.S.N.),94,nutrition,on-campus,FT
Patrick Garcia,Doctor of Dental Medicine (D.M.D.),71,nursing,on-campus,PT
Dr. Kathleen Curry,Doctor of Medicine (M.D.),96,physiotherapy,,FT
Katie Martinez,Doctor of Chiropractic (D.C.),65,,,PT
Melissa Hopkins,Doctor of Dental Surgery (D.D.S.),80,surgery,,PT
Katelyn Wallace,Doctor of Chiropractic (D.C.),96,,online,FT
Robert Wang PhD,Doctor of Dental Surgery (D.D.S.),57,physiotherapy,online,PT
Kim Smith,Doctor of Pharmacy (Pharm.D.),77,dentistry,online,PT
Michael Johnson,Doctor of Chiropractic (D.C.),69,immunology,on-campus,PT
Michael Fowler,Bachelor of Science in Biomedical Science (B.S.),89,nutrition,online,PT
Hannah Ochoa,Doctor of Veterinary Medicine (D.V.M.),98,nursing,online,FT
Jessica Werner,Doctor of Osteopathic Medicine (D.O.),91,physiotherapy,online,FT
Joel Miller,Doctor of Chiropractic (D.C.),83,immunology,online,FT
Ann Reese,Doctor of Podiatric Medicine (D.P.M.),94,,on-campus,FT
Jeffrey Robinson,Bachelor of Science in Biomedical Science (B.S.),64,nutrition,online,PT
Brenda Hess,Bachelor of Science in Nursing (B.S.N.),59,physiotherapy,,
John Graham,Doctor of Dental Surgery (D.D.S.),96,nutrition,online,PT
Renee Adams,Doctor of Nursing Practice (D.N.P.),70,surgery,on-campus,PT
Mark Ross,Doctor of Medicine (M.D.),94,,on-campus,FT
Alexander Lawrence,Doctor of Veterinary Medicine (D.V.M.),100,nursing,online,PT
Madeline Stephens,Doctor of Nursing Practice (D.N.P.),86,,online,PT
Sean Diaz,Master of Health Administration (M.H.A.),80,dentistry,on-campus,
Craig Jones,Doctor of Nursing Practice (D.N.P.),95,nursing,online,PT
Michelle York,Bachelor of Science in Biomedical Science (B.S.),66,nursing,on-campus,
Jordan Perez,Doctor of Optometry (O.D.),91,nursing,on-campus,FT
Joshua Rojas,Bachelor of Science in Nursing (B.S.N.),76,dentistry,online,FT
Valerie Walker,Doctor of Pharmacy (Pharm.D.),97,surgery,,
Katelyn Nguyen,Doctor of Veterinary Medicine (D.V.M.),84,nursing,online,PT
Troy Woods,Doctor of Dental Surgery (D.D.S.),97,physiotherapy,online,
Sean Weber,Bachelor of Science in Biomedical Science (B.S.),83,nursing,online,
Brooke Vance,Doctor of Optometry (O.D.),68,surgery,online,PT
Kathy Kennedy,Doctor of Nursing Practice (D.N.P.),69,dentistry,online,
Amanda Herring,Doctor of Medicine (M.D.),50,nursing,online,
Jason Fernandez,Doctor of Medicine (M.D.),61,surgery,on-campus,
Emily Castro,Doctor of Physical Therapy (D.P.T.),66,nursing,online,
Megan Rose,Doctor of Osteopathic Medicine (D.O.),65,dentistry,,PT
Heidi Roth,Doctor of Podiatric Medicine (D.P.M.),87,nutrition,,
